1 - min(mdcv$evaluation_log$val_merror),booster,objective,max_depth,eta,subsample,colsample_bytree,min_child_weight,gamma,alpha,lambda
0.837398,gbtree,multi:softmax,8,0.23287463050568474,0.7836889415048063,0.8116654770448803,1,98,9.13325883448124,7.074947841465473
0.837398,gbtree,multi:softmax,8,0.11732161724939941,0.9146582671906799,0.9031185416504741,8,19,45.20996273495257,32.21472797449678
0.837398,gbtree,multi:softmax,7,0.0938860849291086,0.9458369456697255,0.7967870800755918,3,7,26.496045803651214,6.959067401476204
0.837398,gbtree,multi:softmax,3,0.29776026770705355,0.7192257822491228,0.8700436471961439,5,44,83.41206656768918,18.597654486075044
0.837398,gbtree,multi:softmax,4,0.14774634518893434,0.8397459335858002,0.963997898902744,4,25,59.3550332589075,3.8198369089514017
0.837398,gbtree,multi:softmax,7,0.1453700692555867,0.929477009945549,0.7742694756947458,4,65,7.0501890033483505,48.44383881427348
0.837398,gbtree,multi:softmax,4,0.28633468299172815,0.7377258374588563,0.8042334358207881,5,46,26.977005903609097,2.2252804366871715
0.837398,gbtree,multi:softmax,7,0.04126269610598683,0.9832297073910012,0.6193391801789403,5,86,58.97974593099207,13.624599273316562
0.837398,gbtree,multi:softmax,8,0.019105982235632837,0.8213123634224757,0.6721876356750727,9,89,38.67491204291582,53.50039298646152
0.837398,gbtree,multi:softmax,3,0.20256816404871641,0.7811232753098011,0.6826162850484252,5,6,94.14010741747916,71.08542900532484
0.837398,gbtree,multi:softmax,3,0.1132553883222863,0.8513486525509506,0.6589887171983718,2,97,81.10741444397718,87.05817719455808
0.837398,gbtree,multi:softmax,8,0.22960368695668876,0.8054460779996588,0.6138242384418845,0,48,99.67995188198984,57.54784154705703
0.837398,gbtree,multi:softmax,3,0.27363772987853735,0.923423805530183,0.9069894714280963,3,52,19.994220626540482,90.81264191772789
0.837398,gbtree,multi:softmax,8,0.10906191351590677,0.9488239318598062,0.6826420807279646,2,43,52.34108683653176,28.933274396695197
0.837398,gbtree,multi:softmax,5,0.18948728258255867,0.8050560324219986,0.6094193573109805,3,33,88.4216228267178,9.686446189880371
0.837398,gbtree,multi:softmax,10,0.14890274367993697,0.9634100256022066,0.9569710535928607,3,97,81.8294201279059,15.162199060432613
0.837398,gbtree,multi:softmax,8,0.07780224646441637,0.9231713539920747,0.9449020894244313,7,11,83.9298956329003,89.84806467778981
0.837398,gbtree,multi:softmax,5,0.2643430700455792,0.9606773264473304,0.6012136251665652,4,50,44.007983803749084,52.10689236409962
0.837398,gbtree,multi:softmax,6,0.028378628166392444,0.726050021732226,0.6645201628096401,10,80,40.48677671235055,59.31902576703578
0.837398,gbtree,multi:softmax,5,0.24484503612387926,0.8616072135511785,0.6500154200010001,7,99,57.477324292995036,76.66051441337913
0.837398,gbtree,multi:softmax,8,0.11340280498610808,0.8457103316672145,0.7868684899993241,4,88,41.63225130178034,92.5123539287597
0.837398,gbtree,multi:softmax,3,0.2960540579794906,0.9999811771791428,0.6098130143247544,4,2,41.429421002976596,69.203492696397
0.837398,gbtree,multi:softmax,8,0.04963215544587001,0.881501969601959,0.9566600004211068,7,45,86.45650881808251,99.13538019172847
0.837398,gbtree,multi:softmax,10,0.1766055068420246,0.868495519971475,0.8673415432684124,10,86,41.07538207899779,30.321645317599177
0.837398,gbtree,multi:softmax,5,0.14675280586117878,0.9274971002712846,0.6000796302221715,1,71,54.36036821920425,97.74630912579596
0.837398,gbtree,multi:softmax,5,0.26103164279600605,0.7995901788352057,0.9437413525767624,3,6,92.59552326984704,80.14013287611306
0.837398,gbtree,multi:softmax,3,0.2876874988642521,0.9135428637964651,0.6683582789264619,9,6,58.26460677199066,27.656843257136643
0.837398,gbtree,multi:softmax,3,0.06102528435643762,0.7121308494824916,0.6285418736748397,5,97,34.77863762527704,46.82117977645248
0.837398,gbtree,multi:softmax,7,0.11260336687089874,0.7631424716673791,0.9098710908554495,5,60,64.2585483379662,85.34477518405765
0.837398,gbtree,multi:softmax,7,0.28481824159389363,0.8442201645113527,0.9166220223531127,7,15,75.35588641185313,87.35911250114441
0.837398,gbtree,multi:softmax,7,0.048324329347815366,0.7743744095321744,0.7944842125289142,3,22,13.61587061546743,8.07361917104572
0.837398,gbtree,multi:softmax,10,0.019683134772349148,0.7199774660170077,0.647394759953022,4,86,6.571787362918258,99.40181253477931
0.837398,gbtree,multi:softmax,3,0.01913682759972289,0.7758374944096431,0.8058514735661447,7,63,82.30111545417458,88.00335638225079
0.837398,gbtree,multi:softmax,4,0.01611637411639094,0.8087855244753882,0.687410653848201,2,91,73.66384495981038,40.273906220681965
0.837398,gbtree,multi:softmax,3,0.16456477113068105,0.8795868391171098,0.8341706287115812,5,97,64.92038089782,31.682416959665716
0.837398,gbtree,multi:softmax,4,0.11170908061321824,0.9321947854710743,0.9434990207664669,6,73,79.33776744175702,70.55827900767326
0.837398,gbtree,multi:softmax,8,0.1474622515984811,0.9627760502975434,0.8337324416264892,8,20,35.662530176341534,74.26958144642413
0.837398,gbtree,multi:softmax,8,0.17756392241222785,0.8834481642581522,0.7046349951997399,9,85,64.62184675037861,62.952278926968575
0.8455280000000001,gbtree,multi:softmax,5,0.2732947827875614,0.8755088874604553,0.852339547034353,6,2,3.6484908778220415,27.503185253590345
0.837398,gbtree,multi:softmax,6,0.16232491311384364,0.9304790937807411,0.7835610519163311,5,62,19.193328777328134,68.44349012244493
0.837398,gbtree,multi:softmax,8,0.2119697839207947,0.8672147523844614,0.8888616195879877,8,80,10.943878116086125,63.06371360551566
0.837398,gbtree,multi:softmax,10,0.2675301970145665,0.7208551902789622,0.7631193209439516,4,68,91.09232374466956,51.90888203214854
0.837398,gbtree,multi:softmax,6,0.2075058854650706,0.8656524007674307,0.6289595210924744,7,12,56.1029112432152,39.618549472652376
0.837398,gbtree,multi:softmax,9,0.09662161336978896,0.9599973121425136,0.9656396996229887,7,16,92.20089199952781,69.53880887012929
0.837398,gbtree,multi:softmax,8,0.10362880620872601,0.8781604318413884,0.6203076020814479,7,75,77.1693698130548,12.162718875333667
0.837398,gbtree,multi:softmax,6,0.02509837024612352,0.9397348563885316,0.6507888813503087,9,53,89.74067482631654,3.7994537269696593
0.837398,gbtree,multi:softmax,10,0.1798840147559531,0.9840499079087749,0.9213389828801155,5,28,35.11406038887799,43.24469459243119
0.837398,gbtree,multi:softmax,5,0.23386002559913321,0.928228737320751,0.7078113346360624,2,99,4.463815502822399,25.19630417227745
0.837398,gbtree,multi:softmax,3,0.2545962895452976,0.7455833212006837,0.6152877444401383,6,68,50.288254767656326,22.183988336473703
0.837398,gbtree,multi:softmax,8,0.23340877439826727,0.926366907847114,0.6620268608443439,3,31,29.519926733337343,1.0447386419400573
0.837398,gbtree,multi:softmax,4,0.04279437089106068,0.80295356297865506,0.9181787035427987,1,21,7.168576004914939,32.0494283689186
0.837398,gbtree,multi:softmax,4,0.24242026939056813,0.9215661978116259,0.9877371529117227,5,26,57.386196800507605,99.61833525449038
0.837398,gbtree,multi:softmax,10,0.24826381023973226,0.7984445108333602,0.7039477240294219,6,50,82.1314139990136,70.20773191470653
0.837398,gbtree,multi:softmax,6,0.020499141567852347,0.8075980340596288,0.7916412197053433,10,57,18.366953846998513,28.201310406439006
0.837398,gbtree,multi:softmax,4,0.2929608446639031,0.972483383747749,0.809521806333214,4,87,45.891941408626735,17.693252116441727
0.837398,gbtree,multi:softmax,9,0.16783662702189758,0.999494970496744,0.689587382785976,4,24,25.904221646487713,55.261099827475846
0.837398,gbtree,multi:softmax,4,0.06987610313575714,0.9043417545501142,0.8231066420674324,4,18,76.00338475313038,57.22701498307288
0.837398,gbtree,multi:softmax,8,0.050440532921347765,0.9130223599728197,0.6237606012262403,0,60,36.67703235987574,98.55826322454959
0.837398,gbtree,multi:softmax,6,0.06971758448518812,0.8726154015399515,0.9345942818559706,4,50,77.17846531886607,55.26285767555237
0.837398,gbtree,multi:softmax,7,0.15389653612859547,0.832740233791992,0.847963236272335,7,59,30.930831958539784,48.2691679848358
0.837398,gbtree,multi:softmax,3,0.25339979289798065,0.8060911788837983,0.7563811765052378,7,29,72.67454063985497,16.676479508168995
0.837398,gbtree,multi:softmax,8,0.03529750658897683,0.9727389400824904,0.6989176811650395,10,13,59.22572414856404,14.172176946885884
0.837398,gbtree,multi:softmax,10,0.08174507428659125,0.862626783363521,0.9781917734071612,0,24,65.94361995812505,80.56883940007538
0.837398,gbtree,multi:softmax,9,0.19719191229902208,0.9247849666047842,0.7687984740361571,2,62,94.26911708433181,26.441224291920662
0.837398,gbtree,multi:softmax,9,0.29185425801901144,0.7418991820188239,0.6535371669568121,3,65,69.40324562601745,98.64863932598382
0.837398,gbtree,multi:softmax,5,0.14025269366567955,0.9653613348957151,0.7628984395414591,6,98,94.76159480400383,0.586361438035965
0.837398,gbtree,multi:softmax,6,0.03868104121647775,0.7841907112859189,0.7016994194127619,4,22,18.105880869552493,63.17473880480975
0.837398,gbtree,multi:softmax,4,0.18029991809744386,0.8300506913801655,0.9369868212379515,3,53,8.741441858001053,90.19912318326533
0.837398,gbtree,multi:softmax,9,0.22076374059310183,0.7447472531814128,0.8597205647267401,4,63,64.42636870779097,60.7922867173329
0.837398,gbtree,multi:softmax,7,0.24405384649522602,0.7093481465475633,0.982174848113209,0,42,52.734773443080485,18.54121887590736
0.837398,gbtree,multi:softmax,10,0.10145051373634487,0.7996793782804161,0.7804909692145884,4,60,89.25352850928903,57.07258281763643
